Bulk Edit Items,,,,,,,,,,,
Barcode,Item Code,Item Name,Warehouse,Quantity,Valuation Rate,Amount,Current Qty,Current Valuation Rate,Current Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,warehouse,qty,valuation_rate,amount,current_qty,current_valuation_rate,current_amount,quantity_difference,amount_difference
 , , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,,
------,,,,,,,,,,,
,SG0001,SECURITY GUARD UNIFORM Size 28,LMC STORE - LMC,16,575,9200,,,,,
,SG0002,SECURITY GUARD UNIFORM Size 30,LMC STORE - LMC,73,575,41975,,,,,
,SG0003,SECURITY GUARD UNIFORM Size 32,LMC STORE - LMC,62,575,35650,,,,,
,SG0004,SECURITY GUARD UNIFORM Size 34,LMC STORE - LMC,37,575,21275,,,,,
,SG0005,SECURITY GUARD UNIFORM Size 36,LMC STORE - LMC,0,575,0,,,,,
,SG0006,SECURITY GUARD UNIFORM Size 38,LMC STORE - LMC,24,575,13800,,,,,
,SG0007,SECURITY GUARD UNIFORM Size 40,LMC STORE - LMC,6,575,3450,,,,,
,SG0008,SECURITY GUARD UNIFORM Size 42,LMC STORE - LMC,25,575,14375,,,,,
,SG0009,SECURITY GUARD UNIFORM Size 44,LMC STORE - LMC,4,575,2300,,,,,
,SG0010,SECURITY GUARD UNIFORM Size 46,LMC STORE - LMC,2,575,1150,,,,,
,SG0011,SECURITY GUARD UNIFORM Size 48,LMC STORE - LMC,0,575,0,,,,,
,SH0001,SHOES Size 10,LMC STORE - LMC,4,425,1700,,,,,
,SH0002,SHOES Size 09,LMC STORE - LMC,1,425,425,,,,,
,SH0003,SHOES Size 08,LMC STORE - LMC,14,425,5950,,,,,
,SH0004,SHOES Size 07,LMC STORE - LMC,8,425,3400,,,,,
,SH0005,SHOES Size 06,LMC STORE - LMC,25,425,10625,,,,,
,LG0001,LADY GUARD UNIFORM Size 28,LMC STORE - LMC,19,620,11780,,,,,
,LG0002,LADY GUARD UNIFORM Size 30,LMC STORE - LMC,13,620,8060,,,,,
,LG0003,LADY GUARD UNIFORM Size 32,LMC STORE - LMC,6,620,3720,,,,,
,LG0004,LADY GUARD UNIFORM Size 34,LMC STORE - LMC,1,620,620,,,,,
,LG0005,LADY GUARD UNIFORM Size 36,LMC STORE - LMC,12,620,7440,,,,,
,LG0006,LADY GUARD UNIFORM Size 38,LMC STORE - LMC,23,620,14260,,,,,
,LG0007,LADY GUARD UNIFORM Size 40,LMC STORE - LMC,22,620,13640,,,,,
,LG0008,LADY GUARD UNIFORM Size 42,LMC STORE - LMC,5,620,3100,,,,,
,AC0001,ACCESSORIES Security Guard Caps,LMC STORE - LMC,63,52,3276,,,,,
,AC0002,ACCESSORIES Blue Line Yard,LMC STORE - LMC,360,16,18720,,,,,
,AC0003,ACCESSORIES Whistle,LMC STORE - LMC,0,7,0,,,,,
,AC0004,ACCESSORIES Supervisor Cap,LMC STORE - LMC,20,70,1040,,,,,
,AC0005,ACCESSORIES Supervisor TIE,LMC STORE - LMC,88,45,4576,,,,,
,AC0006,ACCESSORIES Security Guard Belts,LMC STORE - LMC,0,125,0,,,,,
,AC0007,ACCESSORIES Supervisor Belts,LMC STORE - LMC,40,215,2080,,,,,
,AC0008,ACCESSORIES Plastic Batton,LMC STORE - LMC,3,60,156,,,,,
,AC0009,ACCESSORIES Lathi,LMC STORE - LMC,120,25,6240,,,,,
,AC0010,ACCESSORIES JERSEY (Swetars),LMC STORE - LMC,0,75,0,,,,,
,AC0011,ACCESSORIES RAIN COAT,LMC STORE - LMC,180,250,45000,,,,,
,CD0001,CERMONIAL DRESS PAGARI - RED/BLUE,LMC STORE - LMC,0,260,0,,,,,
,CD0002,CERMONIAL DRESS SCARF RED / BLUE,LMC STORE - LMC,12,,,,,,,
,CD0003,CERMONIAL DRESS KAMARBANDH WITH JHALLAR,LMC STORE - LMC,12,,,,,,,
,CD0004,CERMONIAL DRESS ANKLETS WHITE TERYCOT,LMC STORE - LMC,12,,,,,,,
,CD0005,CERMONIAL DRESS SLEEVES WHITE TERYCOT,LMC STORE - LMC,12,,,,,,,
,CD0006,CERMONIAL DRESS RED SILKEN SASH,LMC STORE - LMC,12,,,,,,,
,CD0007,CERMONIAL DRESS TRAFFIC WODEN (ONLY SHIRTS),LMC STORE - LMC,12,,,,,,,
,CD0008,CERMONIAL DRESS TRAFFIC WODEN (ONLY PANTS),LMC STORE - LMC,31,,,,,,,
